Title,Release Year,Genre,Film Rating,Director,Country of Origin,Budget,Gross Worldwide,Gross US and Canada,Opening Weekend US and Canada
The Shawshank Redemption,1994,Drama,9.3,Frank Darabont,United States,25000000,29330423,28767189,727327
The Godfather,1972,Crime,9.2,Francis Ford Coppola,United States,6000000,250342030,136381073,302393
The Dark Knight,2008,Action,9,Christopher Nolan,United States,185000000,1008524647,534987076,158411483
The Godfather: Part II,1974,Crime,9,Francis Ford Coppola,United States,13000000,47962897,47834595,171417
Schindler's List,1993,Biography,9,Steven Spielberg,United States,22000000,322161245,96898818,656636
The Lord of the Rings: The Return of the King,2003,Action,9,Peter Jackson,New Zealand,94000000,1151301082,381722353,72629713
Pulp Fiction,1994,Crime,8.9,Quentin Tarantino,United States,8000000,213928762,107928762,9311882
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.9,Peter Jackson,New Zealand,93000000,887266300,319205075,47211490
The Shawshank Redemption,1994,Drama,9.3,Francis Ford Coppola,United States,6000000,250342030,136381073,302393
The Godfather,1972,Crime,9.2,Christopher Nolan,United States,185000000,1008524647,534987076,158411483
The Dark Knight,2008,Action,9,Francis Ford Coppola,United States,13000000,47962897,47834595,171417
Forrest Gump,1994,Drama,8.8,Robert Zemeckis,United States,55000000,678226465,330455270,24450602
The Lord of the Rings: The Two Towers,2002,Action,8.8,Peter Jackson,New Zealand,94000000,951403754,345372040,62007528
Fight Club,1999,Drama,8.8,David Fincher,Germany,63000000,101320107,37030102,11035485
Inception,2010,Action,8.8,Christopher Nolan,United States,160000000,839030630,292587330,62785337
Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7,Irvin Kershner,United States,18000000,538375067,292753960,4910483
The Matrix,1999,Action,8.7,Lana Wachowski,United States,63000000,467684461,172076928,27788331
GoodFellas,1990,Biography,8.7,Martin Scorsese,United States,25000000,47049784,46909721,6368901
Se7en,1995,Crime,8.6,David Fincher,United States,33000000,327333559,100125643,13949807
Interstellar,2014,Adventure,8.7,Christopher Nolan,United States,165000000,705191242,188020017,47510360
It's a Wonderful Life,1946,Drama,8.6,Frank Capra,United States,3180000,9767242,1483643,44000
Shichinin no samurai,1954,Action,8.6,Akira Kurosawa,Japan,786769,346258,318649,15942
The Silence of the Lambs,1991,Crime,8.6,Jonathan Demme,United States,19000000,272742922,130742922,13766814
Saving Private Ryan,1998,Drama,8.6,Steven Spielberg,United States,70000000,482351251,217049603,30576104
City of God,2002,Crime,8.6,Fernando Meirelles,Brazil,605072,30680793,7564459,88292
